<<<<<<< HEAD
qi,agent,T,K_louv,K_leid,agee_louv,agee_leid,S_louv,S_leid,I_louv,I_leid,E_louv,E_leid
45,random_walk,10,9,9,0.49034024105414326,0.49034024105414326,0.5169201011025045,0.5169201011025045,0.34834328616924254,0.34834328616924254,0.6795180722891566,0.6795180722891566
46,bfs,10,39,43,0.6877893933978481,0.748989163280853,0.5405210579964534,0.6706946959104434,0.7757551403376401,0.7757551403376401,0.8243243243243243,0.8433734939759037
46,greedy,10,39,43,0.8129515142187633,0.8165745157434092,0.926259436500775,0.9220851325625447,0.624496156062332,0.624496156062332,0.9222222222222222,0.9444444444444444
46,random_walk,10,39,43,0.2670766167162226,0.5405067701019456,9.19739582306839e-06,0.4173066196999748,0.4463699433484215,0.4463699433484215,0.9444444444444444,0.9444444444444444
47,bfs,10,15,17,0.829821428143376,0.8098893841118262,0.8358880206859255,0.8263351698346865,0.7535794979851076,0.7535794979851076,0.9324324324324325,0.8648648648648649
47,greedy,10,15,17,0.7555154790057022,0.7389068709085918,0.9334264042068035,0.8691925228399384,0.46266314440338974,0.46266314440338974,0.9578947368421052,0.9888888888888889
47,random_walk,10,15,17,0.23021871711520478,0.4067174199892412,6.514961142910325e-05,0.24485891034656818,0.3209649193315255,0.3209649193315255,0.9333333333333333,0.9333333333333333
48,bfs,10,16,16,0.6426412736922911,0.6426412736922911,0.4725079676119918,0.4725079676119918,0.7767871205229935,0.7767871205229935,0.761904761904762,0.761904761904762
48,greedy,10,16,16,0.677708067411994,0.677708067411994,0.8382503488781002,0.8382503488781,0.38161274825956903,0.38161274825956903,0.927710843373494,0.927710843373494
48,random_walk,10,16,16,0.6123092475007931,0.6123092475007931,0.6999697146718175,0.6999697146718175,0.45058302722934557,0.45058302722934557,0.7252631578947368,0.7252631578947368
49,bfs,10,8,8,0.5570934086222701,0.5570934086222701,0.37391931784151616,0.37391931784151616,0.6317267271444432,0.6317267271444432,0.8,0.8
49,greedy,10,8,8,0.5519194397068818,0.5519194397068818,0.60259626386045,0.6025962638604498,0.2994215566359965,0.2994215566359965,0.9284210526315789,0.9284210526315789
49,random_walk,10,8,8,0.5176598088179478,0.5176598088179478,0.5464318929437773,0.5464318929437773,0.3419790862417979,0.3419790862417979,0.7682539682539682,0.7682539682539682
50,bfs,10,16,16,0.3156041444264096,0.3156041444264096,0.000138060525734482,0.000138060525734482,0.6030035659061503,0.6030035659061503,1.0,1.0
50,greedy,10,16,16,0.5741080969435066,0.5741080969435066,0.553477372633281,0.553477372633281,0.4305385707813992,0.4305385707813992,0.849795918367347,0.849795918367347
50,random_walk,10,16,16,0.5153386913990508,0.5153386913990508,0.5352544955261165,0.5352544955261165,0.3683314849223015,0.3683314849223015,0.7246127366609294,0.7246127366609294
51,bfs,10,42,54,0.5611766971654407,0.6243180362902061,0.3997796161078975,0.539979606454071,0.5277873736610232,0.5277873736610232,0.9365079365079364,0.9365079365079365
51,greedy,10,42,54,0.7231352514380476,0.797522204290083,0.6852979903870825,0.8689981622373626,0.6144888319258694,0.6144888319258694,0.9594594594594594,0.9666666666666666
51,random_walk,10,42,54,0.5374049333268356,0.468884727993533,0.29235109543377047,0.16857611699369182,0.6333566800531985,0.6333566800531985,0.9082706766917292,0.9368421052631579
52,bfs,10,14,14,0.8083289847536086,0.7632799492653515,0.8783833658745912,0.7656935572234792,0.7299430977273483,0.7299430977273483,0.8111111111111111,0.8072289156626506
52,greedy,10,14,14,0.6845371943636992,0.6845371943636992,0.8744165184861249,0.8744165184861249,0.3797379032692382,0.3797379032692382,0.9036144578313253,0.9036144578313253
52,random_walk,10,14,14,0.39385326617276795,0.39385326617276795,0.2546841794838432,0.2546841794838432,0.27694470615946293,0.27694470615946293,0.9333333333333333,0.9333333333333333
53,bfs,10,7,7,0.5259146826025224,0.5259146826025226,0.3850315039583154,0.3850315039583155,0.5127030434090696,0.5127030434090696,0.82,0.82
53,greedy,10,7,7,0.6303586644014572,0.6303586644014572,0.8284998611617621,0.8284998611617621,0.298809600250162,0.298809600250162,0.9104308390022674,0.9104308390022674
53,random_walk,10,7,7,0.234275573530916,0.234275573530916,0.0002284669865204477,0.0002284669865204477,0.3395200289391516,0.3395200289391516,0.9222222222222223,0.9222222222222223
54,bfs,10,6,6,0.5290779688808985,0.5290779688808985,0.5236289747329035,0.5236289747329035,0.32289309084980394,0.32289309084980394,0.9142857142857144,0.9142857142857144
54,greedy,10,6,6,0.5444492599404684,0.5444492599404684,0.70123109138924,0.70123109138924,0.2735632183908046,0.2735632183908046,0.7733333333333333,0.7733333333333333
